Created At,ID,Name,Name Mm,Updated At
2020-12-12T07:16:59Z,1,Kachin,ကချင်,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,2,Kayah,ကယား,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,3,Kayin,ကရင်,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,4,Chin,ချင်း,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,5,Mon,မွန်,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,6,Rakhine,ရခိုင်,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,7,Shan,ရှမ်း,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,8,Yangon,ရန်ကုန်,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,9,Mandalay,မန္တလေး,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,10,Sagaing,စစ်ကိုင်း,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,11,Magway,မကွေး,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,12,Bago,ပဲခူး,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,13,Ayeyarwady,ဧရာဝတီ,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,14,Tanintharyi,တနသာင်္ရီ,2020-12-12T07:16:59Z
2020-12-12T07:16:59Z,15,Nay Pyi Taw,နေပြည်တော်,2020-12-12T07:16:59Z
